,glove100_c.txt,glove100_e.txt,glove200_c.txt,glove200_e.txt,glove300_c.txt,glove300_e.txt,glove50_c.txt,glove50_e.txt,w2v_c.txt,w2v_e.txt
0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,1,1,1
2,1,0,1,0,1,0,1,0,1,0
3,1,1,1,1,0,0,1,1,1,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,1,0,0,1,1
8,1,0,1,0,1,0,1,0,1,0
9,1,1,1,1,1,1,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0
12,1,1,1,1,1,1,1,1,1,1
13,1,1,1,0,1,0,1,1,0,0
14,1,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,0,0,0,1,0
16,1,1,1,0,1,0,1,1,1,0
17,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,0,0
19,0,0,0,0,0,0,1,0,1,0
20,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1
22,0,0,0,0,0,0,0,0,1,1
23,0,0,0,0,1,0,0,0,1,0
24,0,1,0,1,0,1,0,1,0,1
25,1,1,1,1,1,1,1,1,1,1
26,0,1,0,1,0,1,0,0,U,U
27,U,U,U,U,U,U,U,U,U,U
28,0,0,0,0,0,0,0,0,0,1
29,0,0,1,1,1,1,1,1,0,0
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,1,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,1,0
33,1,0,1,0,1,0,1,1,1,1
34,0,0,0,0,0,0,1,1,0,0
35,0,1,0,1,0,1,0,1,1,1
36,1,0,0,0,1,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,U,U,U,U,U,U,U,U,0,1
39,1,0,1,0,1,0,1,0,1,0
40,1,0,1,0,1,0,1,1,1,1
41,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0
43,1,0,1,1,1,1,0,0,1,1
44,0,0,0,0,0,0,0,0,0,0
45,1,1,1,0,1,0,1,1,1,0
46,0,1,0,1,0,1,0,1,1,1
47,0,0,0,0,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0,1,0
49,1,1,1,1,1,1,1,1,1,0
50,0,1,0,0,0,0,0,0,1,1
51,0,0,0,0,0,0,0,0,0,0
52,1,0,1,1,1,1,1,1,1,1
53,1,0,1,1,1,1,1,1,1,1
54,0,0,0,1,0,0,1,0,0,0
55,U,U,U,U,U,U,U,U,0,0
56,1,0,1,0,1,0,1,0,1,1
57,0,0,0,0,0,0,0,0,1,0
58,0,1,1,1,1,1,1,0,1,1
59,1,0,1,0,1,0,1,0,0,0
60,1,1,1,1,1,1,1,1,0,1
61,0,0,1,0,1,0,0,0,1,0
62,1,1,1,1,1,1,0,1,1,1
63,1,1,1,1,1,1,0,1,0,1
64,1,1,0,1,1,1,0,0,1,1
65,0,0,1,0,1,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,0,0,1,1,1,1,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0
69,1,1,1,1,1,1,1,1,1,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0
73,1,0,1,1,1,1,1,1,1,1
74,1,0,0,0,1,0,1,1,0,0
75,0,0,0,0,0,0,0,0,0,0
76,0,0,0,1,0,1,0,1,0,1
77,1,1,1,1,1,1,0,0,1,0
78,0,0,0,0,0,1,0,0,0,1
79,1,0,1,0,1,0,0,0,1,0
80,0,0,0,0,0,0,0,0,1,0
81,1,1,0,0,1,0,1,1,1,0
82,1,1,1,1,1,1,1,1,1,1
83,0,1,1,1,0,1,1,1,1,1
84,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0
87,1,1,1,1,0,1,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,1,0,0
90,0,0,0,0,0,0,0,0,1,1
91,0,0,0,0,0,0,0,0,0,0
92,1,1,1,1,1,1,1,1,1,1
93,0,1,0,1,0,1,0,1,0,1
94,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,0,1,0,1,0
