embedding,category,accuracy,correct,total
elmo2,capital-common-countries,7.51,38,506
elmo2,capital-world,1.81,82,4524
elmo2,currency,3.00,26,866
elmo2,city-in-state,5.72,141,2467
elmo2,family,80.83,409,506
elmo2,gram1-adjective-to-adverb,24.50,243,992
elmo2,gram2-opposite,37.07,301,812
elmo2,gram3-comparative,90.69,1208,1332
elmo2,gram4-superlative,83.07,932,1122
elmo2,gram5-present-participle,66.48,702,1056
elmo2,gram6-nationality-adjective,19.70,315,1599
elmo2,gram7-past-tense,64.49,1006,1560
elmo2,gram8-plural,85.89,1144,1332
elmo2,gram9-plural-verbs,85.40,743,870
elmo2,Questions seen,total,100.00,19544/19544
elmo2,Semantic accuracy,7.85,696,8869
elmo2,Syntactic accuracy,61.77,6594,10675
elmo2,Total accuracy,37.30,7290,19544
